Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.58","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.59","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1.58","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.39","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.35","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.37","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.71","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.73","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.82","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.94","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.93","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.95","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.16","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.07","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.63","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.77","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.88","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.97","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.92","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.86","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.84","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.88","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.89","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.89","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.75","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.71","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.69","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.84","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.98","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.83","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.96","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.63","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.61","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-1.25","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.99","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.93","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.92","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-1.04","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.95","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.12","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1.12","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.06","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.35","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.34","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.89","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.75","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.39","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.46","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.66","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.06","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.27","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.03","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.15","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.44","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.98","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","1.13","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.05","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","1.08","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.07","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.28","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.29","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.73","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.28","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.35","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.96","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1.04","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.48","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-0.46","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.71","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.42","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.15","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","1.24","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","1.11","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.19","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","1.17","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.32","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.44","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.56","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.36","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-0.93","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-1.06","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-1.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.54","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-1.64","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-1.57","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-1.62","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.54","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-1.26","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.76","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.83","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.86","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.87","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.89","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","0.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.11","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-0.08","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.21","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-0.13","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-1.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-1.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-1.56","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.51","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-1.39","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","1.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","0.96","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","0.99","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","0.96","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-1.99","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-2.17","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-2.14","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-2.24","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2021","2021","","-2.13","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","","-1.29","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-1.48","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","","-1.35","X","Figure from international organizations",""
